Start of test 1...........Testing close X bounds..........
['$18', 'ok', 'X106.00', 'Y0.00', 'Z46.00']
['$37', 'ok', 'X107.00', 'Y0.00', 'Z47.00']
['$57', 'ok', 'X108.00', 'Y0.00', 'Z48.00']
['$79', 'ok', 'X109.00', 'Y0.00', 'Z50.00']
['$102', 'ok', 'X110.00', 'Y0.00', 'Z51.00']
['$127', 'ok', 'X111.00', 'Y0.00', 'Z53.00']
['$153', 'ok', 'X112.00', 'Y0.00', 'Z54.00']
['$181', 'ok', 'X113.00', 'Y0.00', 'Z56.00']
['$210', 'ok', 'X114.00', 'Y0.00', 'Z57.00']
['$241', 'ok', 'X115.00', 'Y0.00', 'Z59.00']
['$274', 'ok', 'X116.00', 'Y0.00', 'Z61.00']
['$308', 'ok', 'X117.00', 'Y0.00', 'Z62.00']
['$344', 'ok', 'X118.00', 'Y0.00', 'Z64.00']
['$382', 'ok', 'X119.00', 'Y0.00', 'Z66.00']
['$422', 'ok', 'X120.00', 'Y0.00', 'Z68.00']
['$464', 'ok', 'X121.00', 'Y0.00', 'Z70.00']
['$508', 'ok', 'X122.00', 'Y0.00', 'Z72.00']
['$554', 'ok', 'X123.00', 'Y0.00', 'Z74.00']
['$602', 'ok', 'X124.00', 'Y0.00', 'Z76.00']
['$653', 'ok', 'X125.00', 'Y0.00', 'Z79.00']
['$706', 'ok', 'X126.00', 'Y0.00', 'Z81.00']
['$762', 'ok', 'X127.00', 'Y0.00', 'Z84.00']
['$820', 'ok', 'X128.00', 'Y0.00', 'Z86.00']
['$881', 'ok', 'X129.00', 'Y0.00', 'Z89.00']
['$945', 'ok', 'X130.00', 'Y0.00', 'Z92.00']
['$1012', 'ok', 'X131.00', 'Y0.00', 'Z95.00']
['$1083', 'ok', 'X132.00', 'Y0.00', 'Z99.00']
['$1158', 'ok', 'X133.00', 'Y0.00', 'Z103.00']
['$1237', 'ok', 'X134.00', 'Y0.00', 'Z107.00']
['$1321', 'ok', 'X135.00', 'Y0.00', 'Z112.00']
['$1411', 'ok', 'X136.00', 'Y0.00', 'Z118.00']
['$1509', 'ok', 'X137.00', 'Y0.00', 'Z126.00']
['$1620', 'ok', 'X138.00', 'Y0.00', 'Z140.00']
...........Testing far X bounds..........
['$1697', 'ok', 'X350.00', 'Y0.00', 'Z105.00']
['$1776', 'ok', 'X349.00', 'Y0.00', 'Z107.00']
['$1857', 'ok', 'X348.00', 'Y0.00', 'Z109.00']
['$1939', 'ok', 'X347.00', 'Y0.00', 'Z110.00']
['$2023', 'ok', 'X346.00', 'Y0.00', 'Z112.00']
['$2108', 'ok', 'X345.00', 'Y0.00', 'Z113.00']
['$2194', 'ok', 'X344.00', 'Y0.00', 'Z114.00']
['$2282', 'ok', 'X343.00', 'Y0.00', 'Z116.00']
['$2371', 'ok', 'X342.00', 'Y0.00', 'Z117.00']
['$2462', 'ok', 'X341.00', 'Y0.00', 'Z119.00']
['$2554', 'ok', 'X340.00', 'Y0.00', 'Z120.00']
['$2647', 'ok', 'X339.00', 'Y0.00', 'Z121.00']
['$2741', 'ok', 'X338.00', 'Y0.00', 'Z122.00']
['$2836', 'ok', 'X337.00', 'Y0.00', 'Z123.00']
['$2933', 'ok', 'X336.00', 'Y0.00', 'Z125.00']
['$3031', 'ok', 'X335.00', 'Y0.00', 'Z126.00']
['$3130', 'ok', 'X334.00', 'Y0.00', 'Z127.00']
['$3230', 'ok', 'X333.00', 'Y0.00', 'Z128.00']
['$3331', 'ok', 'X332.00', 'Y0.00', 'Z129.00']
['$3433', 'ok', 'X331.00', 'Y0.00', 'Z130.00']
['$3536', 'ok', 'X330.00', 'Y0.00', 'Z131.00']
['$3640', 'ok', 'X329.00', 'Y0.00', 'Z132.00']
['$3745', 'ok', 'X328.00', 'Y0.00', 'Z133.00']
['$3851', 'ok', 'X327.00', 'Y0.00', 'Z134.00']
['$3958', 'ok', 'X326.00', 'Y0.00', 'Z135.00']
['$4066', 'ok', 'X325.00', 'Y0.00', 'Z136.00']
['$4175', 'ok', 'X324.00', 'Y0.00', 'Z137.00']
['$4285', 'ok', 'X323.00', 'Y0.00', 'Z138.00']
['$4396', 'ok', 'X322.00', 'Y0.00', 'Z139.00']
...........Testing far negative Y bounds..........
command called: 350 -110 30
command called: 350 -109 30
command called: 350 -108 30
command called: 350 -107 30
command called: 350 -106 30
command called: 350 -105 30
command called: 350 -104 30
command called: 350 -103 30
command called: 350 -102 30
command called: 350 -101 30
command called: 350 -100 30
command called: 350 -99 30
command called: 350 -98 30
command called: 350 -97 30
command called: 350 -96 30
command called: 350 -95 30
command called: 350 -94 30
command called: 350 -93 30
command called: 350 -92 30
command called: 350 -91 30
command called: 350 -90 30
command called: 350 -89 37
command called: 350 -88 45
command called: 350 -87 50
command called: 350 -86 54
command called: 350 -85 57
command called: 350 -84 59
command called: 350 -83 62
command called: 350 -82 64
command called: 350 -81 66
