Start of test 1['$3', 'ok', 'X106.00', 'Y0.00', 'Z46.00']
['$7', 'ok', 'X107.00', 'Y0.00', 'Z47.00']
['$12', 'ok', 'X108.00', 'Y0.00', 'Z48.00']
['$19', 'ok', 'X109.00', 'Y0.00', 'Z50.00']
['$27', 'ok', 'X110.00', 'Y0.00', 'Z51.00']
['$37', 'ok', 'X111.00', 'Y0.00', 'Z53.00']
['$48', 'ok', 'X112.00', 'Y0.00', 'Z54.00']
['$61', 'ok', 'X113.00', 'Y0.00', 'Z56.00']
['$75', 'ok', 'X114.00', 'Y0.00', 'Z57.00']
['$91', 'ok', 'X115.00', 'Y0.00', 'Z59.00']
['$109', 'ok', 'X116.00', 'Y0.00', 'Z61.00']
['$128', 'ok', 'X117.00', 'Y0.00', 'Z62.00']
['$149', 'ok', 'X118.00', 'Y0.00', 'Z64.00']
['$172', 'ok', 'X119.00', 'Y0.00', 'Z66.00']
['$197', 'ok', 'X120.00', 'Y0.00', 'Z68.00']
['$224', 'ok', 'X121.00', 'Y0.00', 'Z70.00']
['$253', 'ok', 'X122.00', 'Y0.00', 'Z72.00']
['$284', 'ok', 'X123.00', 'Y0.00', 'Z74.00']
['$317', 'ok', 'X124.00', 'Y0.00', 'Z76.00']
['$353', 'ok', 'X125.00', 'Y0.00', 'Z79.00']
['$391', 'ok', 'X126.00', 'Y0.00', 'Z81.00']
['$432', 'ok', 'X127.00', 'Y0.00', 'Z84.00']
['$475', 'ok', 'X128.00', 'Y0.00', 'Z86.00']
['$521', 'ok', 'X129.00', 'Y0.00', 'Z89.00']
['$570', 'ok', 'X130.00', 'Y0.00', 'Z92.00']
['$622', 'ok', 'X131.00', 'Y0.00', 'Z95.00']
['$678', 'ok', 'X132.00', 'Y0.00', 'Z99.00']
['$738', 'ok', 'X133.00', 'Y0.00', 'Z103.00']
['$802', 'ok', 'X134.00', 'Y0.00', 'Z107.00']
['$871', 'ok', 'X135.00', 'Y0.00', 'Z112.00']
['$946', 'ok', 'X136.00', 'Y0.00', 'Z118.00']
['$1029', 'ok', 'X137.00', 'Y0.00', 'Z126.00']
['$1125', 'ok', 'X138.00', 'Y0.00', 'Z140.00']
Start of test 2['$77', 'ok', 'X350.00', 'Y0.00', 'Z105.00']
['$156', 'ok', 'X349.00', 'Y0.00', 'Z107.00']
['$237', 'ok', 'X348.00', 'Y0.00', 'Z109.00']
['$319', 'ok', 'X347.00', 'Y0.00', 'Z110.00']
['$403', 'ok', 'X346.00', 'Y0.00', 'Z112.00']
['$488', 'ok', 'X345.00', 'Y0.00', 'Z113.00']
['$574', 'ok', 'X344.00', 'Y0.00', 'Z114.00']
['$662', 'ok', 'X343.00', 'Y0.00', 'Z116.00']
['$751', 'ok', 'X342.00', 'Y0.00', 'Z117.00']
['$842', 'ok', 'X341.00', 'Y0.00', 'Z119.00']
['$934', 'ok', 'X340.00', 'Y0.00', 'Z120.00']
['$1027', 'ok', 'X339.00', 'Y0.00', 'Z121.00']
['$1121', 'ok', 'X338.00', 'Y0.00', 'Z122.00']
['$1216', 'ok', 'X337.00', 'Y0.00', 'Z123.00']
['$1313', 'ok', 'X336.00', 'Y0.00', 'Z125.00']
['$1411', 'ok', 'X335.00', 'Y0.00', 'Z126.00']
['$1510', 'ok', 'X334.00', 'Y0.00', 'Z127.00']
['$1610', 'ok', 'X333.00', 'Y0.00', 'Z128.00']
['$1711', 'ok', 'X332.00', 'Y0.00', 'Z129.00']
['$1813', 'ok', 'X331.00', 'Y0.00', 'Z130.00']
['$1916', 'ok', 'X330.00', 'Y0.00', 'Z131.00']
['$2020', 'ok', 'X329.00', 'Y0.00', 'Z132.00']
['$2125', 'ok', 'X328.00', 'Y0.00', 'Z133.00']
['$2231', 'ok', 'X327.00', 'Y0.00', 'Z134.00']
['$2338', 'ok', 'X326.00', 'Y0.00', 'Z135.00']
['$2446', 'ok', 'X325.00', 'Y0.00', 'Z136.00']
['$2555', 'ok', 'X324.00', 'Y0.00', 'Z137.00']
['$2665', 'ok', 'X323.00', 'Y0.00', 'Z138.00']
['$2776', 'ok', 'X322.00', 'Y0.00', 'Z139.00']
